,x,y
0,"tensor([-0.3103, -0.2217, -0.1330, -0.0443,  0.0443,  0.1330,  0.2217,  0.3103,
         0.3990,  0.4877,  0.5764,  0.6650,  0.7537,  0.8424,  0.9310])","tensor([[2872.6196],
        [2802.7344],
        [2794.1895],
        [2594.2993],
        [2786.8652],
        [2197.2656],
        [2644.0430],
        [1679.0771],
        [2162.1704],
        [1147.7661],
        [1756.2866],
        [ 689.6973],
        [1283.8745],
        [ 318.9087],
        [ 121.1548]])"
1,"tensor([-1.2857e+00, -1.1020e+00, -9.1837e-01, -7.3469e-01, -5.5102e-01,
        -3.6735e-01, -1.8367e-01,  2.7756e-17,  1.8367e-01,  3.6735e-01,
         5.5102e-01,  7.3469e-01,  9.1837e-01,  1.1020e+00,  1.2857e+00])","tensor([[2883.3008],
        [2484.7412],
        [2805.1758],
        [1120.3003],
        [2553.7109],
        [ 146.4844],
        [1986.0840],
        [   6.4087],
        [1196.5942],
        [   4.8828],
        [ 517.2729],
        [   4.8828],
        [ 161.4380],
        [   7.9346],
        [   9.7656]])"
2,"tensor([17.1429, 18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000,
        31.8367, 33.6735, 35.5102, 37.3469, 39.1837, 41.0204, 42.8571])","tensor([[2911.6821],
        [2917.4805],
        [2894.2871],
        [2905.2734],
        [2856.4453],
        [2924.8047],
        [2926.3306],
        [2900.3906],
        [2908.9355],
        [2922.3633],
        [2897.3389],
        [2890.6250],
        [2791.7480],
        [2811.8896],
        [2590.9424]])"
3,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[2824.0967],
        [2647.0947],
        [2754.5166],
        [2266.2354],
        [2589.4165],
        [1930.8472],
        [1907.0435],
        [1626.2817],
        [1425.4761],
        [1362.9150],
        [1152.3438],
        [1181.6406],
        [ 945.4346],
        [ 998.5352],
        [ 882.5684]])"
4,"tensor([-14.2857,  -8.1633,  -2.0408,   4.0816,  10.2041,  16.3265,  22.4490,
         28.5714,  34.6939,  40.8163,  46.9388,  53.0612,  59.1837,  65.3061,
         71.4286])","tensor([[2897.9492],
        [2913.2080],
        [2892.1509],
        [2897.6440],
        [2915.0391],
        [2910.4614],
        [2928.7720],
        [2930.6030],
        [2915.0391],
        [2927.5513],
        [2932.1289],
        [2933.6548],
        [2932.7393],
        [2901.3062],
        [2926.3306]])"
5,"tensor([-14.2857,  -8.1633,  -2.0408,   4.0816,  10.2041,  16.3265,  22.4490,
         28.5714,  34.6939,  40.8163,  46.9388,  53.0612,  59.1837,  65.3061,
         71.4286])","tensor([[2917.7856],
        [2924.8047],
        [2942.8101],
        [2927.2461],
        [2933.3496],
        [2838.4399],
        [2913.5132],
        [2890.6250],
        [2918.0908],
        [2802.7344],
        [2929.0771],
        [2650.1465],
        [2944.3359],
        [2459.1064],
        [2950.7446]])"
6,"tensor([ 4.2857,  6.1224,  7.9592,  9.7959, 11.6327, 13.4694, 15.3061, 17.1429,
        18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000])","tensor([[2917.4805],
        [2851.5625],
        [2282.4097],
        [1134.0332],
        [1310.1196],
        [ 582.2754],
        [ 878.9063],
        [ 361.6333],
        [ 602.4170],
        [ 266.1133],
        [ 433.0444],
        [ 205.0781],
        [ 340.2710],
        [ 144.6533],
        [ 275.8789]])"
7,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[2938.5376],
        [2765.5029],
        [2903.4424],
        [2860.7178],
        [2797.2412],
        [2846.6797],
        [2744.1406],
        [2532.9590],
        [2725.8301],
        [1737.0605],
        [2521.3623],
        [1447.1436],
        [1831.9702],
        [1062.0117],
        [1329.0405]])"
8,"tensor([-57.1429, -51.0204, -44.8980, -38.7755, -32.6531, -26.5306, -20.4082,
        -14.2857,  -8.1633,  -2.0408,   4.0816,  10.2041,  16.3265,  22.4490,
         28.5714])","tensor([[2915.0391],
        [2744.4458],
        [2933.9600],
        [2922.6685],
        [2922.0581],
        [2917.4805],
        [2842.1021],
        [2914.4287],
        [2913.2080],
        [2928.4668],
        [2952.2705],
        [2915.3442],
        [2861.6333],
        [2790.5273],
        [2769.4702]])"
9,"tensor([-100.0000,  -93.8776,  -87.7551,  -81.6327,  -75.5102,  -69.3878,
         -63.2653,  -57.1429,  -51.0204,  -44.8980,  -38.7755,  -32.6531,
         -26.5306,  -20.4082,  -14.2857])","tensor([[2722.1680],
        [2670.5933],
        [2652.2827],
        [2761.8408],
        [2753.9062],
        [2825.6226],
        [2863.7695],
        [2846.6797],
        [2861.3281],
        [2863.4644],
        [2872.6196],
        [2886.9629],
        [2872.9248],
        [2887.5732],
        [2858.8867]])"
10,"tensor([ 0.0000,  1.8367,  3.6735,  5.5102,  7.3469,  9.1837, 11.0204, 12.8571,
        14.6939, 16.5306, 18.3673, 20.2041, 22.0408, 23.8776, 25.7143])","tensor([[2905.2734],
        [2888.4888],
        [2819.8242],
        [2890.6250],
        [2919.9219],
        [2901.0010],
        [2895.8130],
        [2877.8076],
        [2887.2681],
        [2875.0610],
        [2912.5977],
        [2910.1563],
        [2615.6616],
        [2895.5078],
        [2893.6768]])"
11,"tensor([12.8571, 14.6939, 16.5306, 18.3673, 20.2041, 22.0408, 23.8776, 25.7143,
        27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714])","tensor([[2923.5840],
        [2648.9258],
        [2899.1699],
        [2890.3198],
        [2873.5352],
        [2880.2490],
        [2814.3311],
        [2889.4043],
        [2777.4048],
        [2844.8486],
        [2745.3613],
        [2892.4561],
        [2762.4512],
        [1260.3760],
        [2312.0117]])"
12,"tensor([-1.7143, -1.5306, -1.3469, -1.1633, -0.9796, -0.7959, -0.6122, -0.4286,
        -0.2449, -0.0612,  0.1224,  0.3061,  0.4898,  0.6735,  0.8571])","tensor([[2919.6167],
        [2919.0063],
        [2917.4805],
        [2909.5459],
        [2846.6797],
        [2929.6875],
        [2919.3115],
        [2855.8350],
        [2781.0669],
        [2908.3252],
        [2915.6494],
        [2915.0391],
        [2907.1045],
        [2913.5132],
        [2916.2598]])"
13,"tensor([17.1429, 18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000,
        31.8367, 33.6735, 35.5102, 37.3469, 39.1837, 41.0204, 42.8571])","tensor([[2790.5273],
        [2896.7285],
        [2890.6250],
        [2820.7397],
        [2891.8457],
        [2775.8789],
        [2878.4180],
        [2745.9717],
        [2838.7451],
        [2622.0703],
        [2748.4131],
        [2519.2261],
        [2540.8936],
        [2357.1777],
        [2145.6909]])"
14,"tensor([-2.1429, -1.9592, -1.7755, -1.5918, -1.4082, -1.2245, -1.0408, -0.8571,
        -0.6735, -0.4898, -0.3061, -0.1224,  0.0612,  0.2449,  0.4286])","tensor([[2833.8623],
        [2844.5435],
        [2867.4316],
        [2803.9551],
        [2902.5269],
        [2864.9902],
        [2898.8647],
        [2893.6768],
        [2871.7041],
        [2874.4507],
        [2882.0801],
        [2897.3389],
        [2899.1699],
        [2895.8130],
        [2898.5596]])"
15,"tensor([21.4286, 23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857,
        36.1224, 37.9592, 39.7959, 41.6327, 43.4694, 45.3061, 47.1429])","tensor([[2915.0391],
        [2904.0527],
        [2890.6250],
        [2887.8784],
        [2868.0420],
        [2890.6250],
        [2859.8022],
        [2889.0991],
        [2863.4644],
        [2880.8594],
        [2872.6196],
        [2849.7314],
        [2850.6470],
        [2736.8164],
        [2878.7231]])"
