,x,y
0,"tensor([12.4138, 13.3005, 14.1872, 15.0739, 15.9606, 16.8473, 17.7340, 18.6207,
        19.5074, 20.3941, 21.2808, 22.1675, 23.0542, 23.9409, 24.8276])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [732.1167],
        [804.4434],
        [126.9226],
        [595.7031],
        [ 23.6206],
        [370.6055],
        [ 14.9231],
        [231.6284],
        [ 10.8948],
        [148.6816],
        [ 76.6602],
        [104.6448]])"
1,"tensor([12.8571, 14.6939, 16.5306, 18.3673, 20.2041, 22.0408, 23.8776, 25.7143,
        27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714])","tensor([[ 9.9951e+02],
        [ 2.9694e+02],
        [ 1.5350e+02],
        [ 6.3477e+00],
        [ 4.8828e-01],
        [-3.9673e-01],
        [-4.8828e-01],
        [ 1.2207e-01],
        [ 4.8828e-01],
        [ 1.1902e+00],
        [ 6.4087e-01],
        [ 5.4932e-01],
        [ 1.4648e+00],
        [ 7.3242e-01],
        [ 8.5449e-01]])"
2,"tensor([-57.1429, -51.0204, -44.8980, -38.7755, -32.6531, -26.5306, -20.4082,
        -14.2857,  -8.1633,  -2.0408,   4.0816,  10.2041,  16.3265,  22.4490,
         28.5714])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [998.5352],
        [999.5117],
        [782.1045],
        [898.0103],
        [573.9441],
        [705.2002],
        [369.7815],
        [481.1401],
        [226.8677],
        [247.3145],
        [ 16.6016],
        [ 74.1577]])"
3,"tensor([-4.2857e+01, -3.6735e+01, -3.0612e+01, -2.4490e+01, -1.8367e+01,
        -1.2245e+01, -6.1224e+00, -8.8818e-16,  6.1224e+00,  1.2245e+01,
         1.8367e+01,  2.4490e+01,  3.0612e+01,  3.6735e+01,  4.2857e+01])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [901.7944],
        [999.5117],
        [755.1270],
        [892.0898],
        [614.8071],
        [727.6611],
        [375.2747],
        [631.8359]])"
4,"tensor([21.4286, 23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857,
        36.1224, 37.9592, 39.7959, 41.6327, 43.4694, 45.3061, 47.1429])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [925.7813],
        [999.5117],
        [839.3555],
        [999.5117],
        [741.7603],
        [999.5117],
        [684.6313],
        [999.5117],
        [614.3799],
        [999.5117],
        [974.2126]])"
5,"tensor([21.4286, 23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857,
        36.1224, 37.9592, 39.7959, 41.6327, 43.4694, 45.3061, 47.1429])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [847.1375],
        [999.5117],
        [658.3252],
        [985.1685],
        [441.1011],
        [794.2200],
        [333.1909],
        [606.2012],
        [360.1685],
        [409.2102]])"
6,"tensor([-2.5714e+00, -2.3878e+00, -2.2041e+00, -2.0204e+00, -1.8367e+00,
        -1.6531e+00, -1.4694e+00, -1.2857e+00, -1.1020e+00, -9.1837e-01,
        -7.3469e-01, -5.5102e-01, -3.6735e-01, -1.8367e-01,  1.6653e-16])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117]])"
7,"tensor([21.4286, 23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857,
        36.1224, 37.9592, 39.7959, 41.6327, 43.4694, 45.3061, 47.1429])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [905.4565],
        [983.0017],
        [873.7183],
        [831.8787],
        [770.7520],
        [631.6223],
        [684.0820],
        [543.0603],
        [612.0911],
        [471.3135]])"
8,"tensor([-1.7143, -1.5306, -1.3469, -1.1633, -0.9796, -0.7959, -0.6122, -0.4286,
        -0.2449, -0.0612,  0.1224,  0.3061,  0.4898,  0.6735,  0.8571])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [982.5134],
        [999.5117],
        [908.8745],
        [999.5117],
        [825.3174],
        [999.5117],
        [764.3433],
        [999.5117],
        [669.1284],
        [941.4062],
        [836.2732]])"
9,"tensor([12.8571, 14.6939, 16.5306, 18.3673, 20.2041, 22.0408, 23.8776, 25.7143,
        27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [909.6680],
        [999.5117],
        [783.6304],
        [999.5117],
        [693.3594],
        [999.5117],
        [621.3379],
        [444.8242],
        [559.6924]])"
10,"tensor([-4.2857e+01, -3.6735e+01, -3.0612e+01, -2.4490e+01, -1.8367e+01,
        -1.2245e+01, -6.1224e+00, -8.8818e-16,  6.1224e+00,  1.2245e+01,
         1.8367e+01,  2.4490e+01,  3.0612e+01,  3.6735e+01,  4.2857e+01])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [926.2695],
        [999.5117],
        [796.9971],
        [999.5117],
        [633.2703],
        [999.5117]])"
11,"tensor([-4.2857e+01, -3.6735e+01, -3.0612e+01, -2.4490e+01, -1.8367e+01,
        -1.2245e+01, -6.1224e+00, -8.8818e-16,  6.1224e+00,  1.2245e+01,
         1.8367e+01,  2.4490e+01,  3.0612e+01,  3.6735e+01,  4.2857e+01])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [832.3364],
        [999.5117],
        [461.3342],
        [999.5117],
        [254.2725],
        [999.5117],
        [134.2163],
        [999.5117],
        [ 70.3125],
        [999.5117],
        [999.5117]])"
12,"tensor([-5.3291e-15,  6.1224e+00,  1.2245e+01,  1.8367e+01,  2.4490e+01,
         3.0612e+01,  3.6735e+01,  4.2857e+01,  4.8980e+01,  5.5102e+01,
         6.1224e+01,  6.7347e+01,  7.3469e+01,  7.9592e+01,  8.5714e+01])","tensor([[999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [999.5117],
        [988.0371],
        [999.5117],
        [911.8652],
        [999.5117],
        [816.4062],
        [999.5117],
        [681.6101],
        [567.8101]])"
