,x,y
0,"tensor([-0.7241, -0.6355, -0.5468, -0.4581, -0.3695, -0.2808, -0.1921, -0.1034,
        -0.0148,  0.0739,  0.1626,  0.2512,  0.3399,  0.4286,  0.5172])","tensor([[3034.0576],
        [2982.1777],
        [2939.4531],
        [2640.3809],
        [2589.1113],
        [2050.1709],
        [1947.3267],
        [1416.0156],
        [1217.6514],
        [ 898.1323],
        [ 602.7222],
        [ 498.0469],
        [ 272.8271],
        [  36.0107],
        [ 107.4219]])"
1,"tensor([-1.2857e+00, -1.1020e+00, -9.1837e-01, -7.3469e-01, -5.5102e-01,
        -3.6735e-01, -1.8367e-01,  2.7756e-17,  1.8367e-01,  3.6735e-01,
         5.5102e-01,  7.3469e-01,  9.1837e-01,  1.1020e+00,  1.2857e+00])","tensor([[2975.1587],
        [2900.3906],
        [2810.0586],
        [2352.2949],
        [2406.6162],
        [1501.4648],
        [1937.2559],
        [ 883.7891],
        [1131.5918],
        [ 440.6738],
        [ 283.2031],
        [ 149.5361],
        [  43.9453],
        [  26.2451],
        [   9.7656]])"
2,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[2945.2515],
        [2968.7500],
        [2981.2622],
        [2934.5703],
        [2927.2461],
        [2549.1333],
        [2836.6089],
        [1965.0269],
        [2539.6729],
        [1386.4136],
        [1665.0391],
        [ 739.7461],
        [ 870.9717],
        [ 358.8867],
        [ 505.3711]])"
3,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[2926.0254],
        [2434.6924],
        [3022.4609],
        [2016.6016],
        [3034.0576],
        [1729.7363],
        [2910.7666],
        [1446.5332],
        [2709.9609],
        [1297.9126],
        [2274.4751],
        [1207.2754],
        [1909.1797],
        [1057.4341],
        [1618.6523]])"
4,"tensor([ 14.2857,  20.4082,  26.5306,  32.6531,  38.7755,  44.8980,  51.0204,
         57.1429,  63.2653,  69.3878,  75.5102,  81.6327,  87.7551,  93.8776,
        100.0000])","tensor([[3005.9814],
        [3012.6953],
        [2997.4365],
        [3003.8452],
        [3003.5400],
        [3007.5073],
        [2953.7964],
        [3008.1177],
        [3012.6953],
        [2963.5620],
        [2937.0117],
        [2894.2871],
        [2971.1914],
        [2979.7363],
        [2975.4639]])"
5,"tensor([-100.0000,  -93.8776,  -87.7551,  -81.6327,  -75.5102,  -69.3878,
         -63.2653,  -57.1429,  -51.0204,  -44.8980,  -38.7755,  -32.6531,
         -26.5306,  -20.4082,  -14.2857])","tensor([[2989.5020],
        [2954.1016],
        [2988.2813],
        [3012.6953],
        [2920.5322],
        [2957.7637],
        [2835.0830],
        [2902.2217],
        [2831.1157],
        [2947.9980],
        [2685.5469],
        [2964.1724],
        [2616.8823],
        [2932.7393],
        [2490.5396]])"
6,"tensor([ 4.2857,  6.1224,  7.9592,  9.7959, 11.6327, 13.4694, 15.3061, 17.1429,
        18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000])","tensor([[2976.6846],
        [2965.3931],
        [2783.2031],
        [2783.2031],
        [1999.2065],
        [2190.8569],
        [1499.0234],
        [1697.6929],
        [1184.9976],
        [1331.1768],
        [ 934.4482],
        [1083.9844],
        [ 786.1328],
        [ 943.9087],
        [ 680.8472]])"
7,"tensor([17.1429, 18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000,
        31.8367, 33.6735, 35.5102, 37.3469, 39.1837, 41.0204, 42.8571])","tensor([[2984.9243],
        [2952.8809],
        [2936.0962],
        [2871.0938],
        [2918.3960],
        [2760.0098],
        [2943.4204],
        [2656.2500],
        [2944.0308],
        [2542.1143],
        [2949.2188],
        [2371.2158],
        [2966.6138],
        [2129.2114],
        [2929.3823]])"
8,"tensor([-5.3291e-15,  6.1224e+00,  1.2245e+01,  1.8367e+01,  2.4490e+01,
         3.0612e+01,  3.6735e+01,  4.2857e+01,  4.8980e+01,  5.5102e+01,
         6.1224e+01,  6.7347e+01,  7.3469e+01,  7.9592e+01,  8.5714e+01])","tensor([[3005.3711],
        [2960.8154],
        [2961.4258],
        [2991.6382],
        [2963.8672],
        [2845.4590],
        [2838.7451],
        [2842.7124],
        [2904.9683],
        [2907.1045],
        [2860.1074],
        [2881.1646],
        [2900.3906],
        [2899.1699],
        [2888.7939]])"
9,"tensor([-8.5714e+01, -7.9592e+01, -7.3469e+01, -6.7347e+01, -6.1224e+01,
        -5.5102e+01, -4.8980e+01, -4.2857e+01, -3.6735e+01, -3.0612e+01,
        -2.4490e+01, -1.8367e+01, -1.2245e+01, -6.1224e+00, -5.3291e-15])","tensor([[2890.6250],
        [2889.0991],
        [2891.5405],
        [2896.1182],
        [2825.3174],
        [2801.2085],
        [2823.4863],
        [2846.6797],
        [2898.8647],
        [2884.8267],
        [2900.3906],
        [2896.1182],
        [2903.7476],
        [2885.7422],
        [2919.9219]])"
10,"tensor([17.1429, 18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000,
        31.8367, 33.6735, 35.5102, 37.3469, 39.1837, 41.0204, 42.8571])","tensor([[2935.4858],
        [2954.4067],
        [2874.1455],
        [2905.2734],
        [2828.3691],
        [2829.8950],
        [2738.9526],
        [2871.0938],
        [2718.2007],
        [2895.5078],
        [2653.1982],
        [2890.6250],
        [2489.0137],
        [2895.5078],
        [2904.6631]])"
11,"tensor([25.7143, 27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714,
        40.4082, 42.2449, 44.0816, 45.9184, 47.7551, 49.5918, 51.4286])","tensor([[2900.3906],
        [2777.7100],
        [2908.6304],
        [2901.9165],
        [2953.1860],
        [2871.0938],
        [2925.1099],
        [2829.8950],
        [2812.5000],
        [2624.5117],
        [2702.0264],
        [2439.2700],
        [2612.9150],
        [2453.6133],
        [2405.7007]])"
12,"tensor([-2.1429, -1.9592, -1.7755, -1.5918, -1.4082, -1.2245, -1.0408, -0.8571,
        -0.6735, -0.4898, -0.3061, -0.1224,  0.0612,  0.2449,  0.4286])","tensor([[2818.9087],
        [2738.0371],
        [2862.8540],
        [2896.4233],
        [2887.5732],
        [2877.8076],
        [2900.0854],
        [2905.5786],
        [2909.2407],
        [2844.2383],
        [2763.0615],
        [2810.9741],
        [2852.7832],
        [2862.5488],
        [2885.7422]])"
13,"tensor([25.7143, 27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714,
        40.4082, 42.2449, 44.0816, 45.9184, 47.7551, 49.5918, 51.4286])","tensor([[2883.9111],
        [2695.3125],
        [2924.8047],
        [2375.7935],
        [2960.8154],
        [2153.3203],
        [2934.5703],
        [1982.4219],
        [2828.0640],
        [1856.3843],
        [2612.3047],
        [1713.8672],
        [2400.5127],
        [1607.6660],
        [1521.3013]])"
14,"tensor([-0.8571, -0.6735, -0.4898, -0.3061, -0.1224,  0.0612,  0.2449,  0.4286,
         0.6122,  0.7959,  0.9796,  1.1633,  1.3469,  1.5306,  1.7143])","tensor([[2921.7529],
        [2875.9766],
        [2903.4424],
        [2880.8594],
        [2924.1943],
        [2863.1592],
        [2935.7910],
        [2835.6934],
        [2951.6602],
        [2692.2607],
        [2777.4048],
        [2557.0679],
        [2763.9771],
        [2623.5962],
        [2878.4180]])"
15,"tensor([25.7143, 27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714,
        40.4082, 42.2449, 44.0816, 45.9184, 47.7551, 49.5918, 51.4286])","tensor([[2854.9194],
        [2891.8457],
        [2866.2109],
        [2904.0527],
        [2870.1782],
        [2885.7422],
        [2789.0015],
        [2914.7339],
        [2696.5332],
        [2830.2002],
        [2577.5146],
        [2897.3389],
        [2473.7549],
        [2792.3584],
        [2382.5073]])"
