,x,y
0,"tensor([689.6552, 704.4335, 719.2118, 733.9901, 748.7685, 763.5468, 778.3251,
        793.1034, 807.8818, 822.6601, 837.4384, 852.2167, 866.9951, 881.7734,
        896.5517])","tensor([[7825927.7344],
        [7810363.7695],
        [7711181.6406],
        [7631835.9375],
        [7539672.8516],
        [7380371.0938],
        [7047119.1406],
        [7085571.2891],
        [6552124.0234],
        [6929931.6406],
        [5427246.0938],
        [6072692.8711],
        [4232177.7344],
        [6268310.5469],
        [1988525.3906]])"
1,"tensor([ 785.7143,  801.0204,  816.3265,  831.6327,  846.9388,  862.2449,
         877.5510,  892.8571,  908.1633,  923.4694,  938.7755,  954.0816,
         969.3878,  984.6939, 1000.0000])","tensor([[6397705.0781],
        [6757812.5000],
        [6666259.7656],
        [6826171.8750],
        [6853027.3437],
        [7018432.6172],
        [7136230.4688],
        [7236022.9492],
        [7319946.2891],
        [7399902.3437],
        [7529602.0508],
        [7594299.3164],
        [7639160.1562],
        [7729492.1875],
        [7787475.5859]])"
2,"tensor([142.8571, 173.4694, 204.0816, 234.6939, 265.3061, 295.9184, 326.5306,
        357.1429, 387.7551, 418.3673, 448.9796, 479.5918, 510.2041, 540.8163,
        571.4286])","tensor([[7800292.9687],
        [7857666.0156],
        [7760009.7656],
        [7889404.2969],
        [7672729.4922],
        [7815551.7578],
        [7639160.1562],
        [7882995.6055],
        [7730712.8906],
        [7870788.5742],
        [7404479.9805],
        [7786865.2344],
        [7472229.0039],
        [7830810.5469],
        [7079162.5977]])"
3,"tensor([236.8000, 239.1786, 241.5571, 243.9357, 246.3143, 248.6929, 251.0714,
        253.4500, 255.8286, 258.2071, 260.5857, 262.9643, 265.3429, 267.7214,
        270.1000])","tensor([[7674865.7227],
        [7802734.3750],
        [7832946.7773],
        [7759399.4141],
        [7837829.5898],
        [7637939.4531],
        [7816772.4609],
        [7652587.8906],
        [7762451.1719],
        [7636718.7500],
        [7824096.6797],
        [7587890.6250],
        [7607421.8750],
        [7569885.2539],
        [7772827.1484]])"
4,"tensor([1630.0143, 1645.6541, 1661.2939, 1676.9337, 1692.5735, 1708.2133,
        1723.8531, 1739.4929, 1755.1327, 1770.7724, 1786.4122, 1802.0520,
        1817.6918, 1833.3316, 1848.9714])","tensor([[7790222.1680],
        [7555236.8164],
        [6965026.8555],
        [7062988.2812],
        [6085815.4297],
        [5454101.5625],
        [3292236.3281],
        [5801696.7773],
        [3840942.3828],
        [5046997.0703],
        [2199096.6797],
        [4732055.6641],
        [5475463.8672],
        [ 869445.8008],
        [ 885742.1875]])"
5,"tensor([2434.0286, 2451.8908, 2469.7531, 2487.6153, 2505.4776, 2523.3398,
        2541.2020, 2559.0643, 2576.9265, 2594.7888, 2612.6510, 2630.5133,
        2648.3755, 2666.2378, 2684.1000])","tensor([[7369995.1172],
        [7813720.7031],
        [7856445.3125],
        [7784423.8281],
        [7870178.2227],
        [7702636.7187],
        [7797851.5625],
        [7708435.0586],
        [7814636.2305],
        [7731323.2422],
        [7713623.0469],
        [7620849.6094],
        [7705993.6523],
        [7565917.9687],
        [7621154.7852]])"
6,"tensor([  0.0000,  25.5102,  51.0204,  76.5306, 102.0408, 127.5510, 153.0612,
        178.5714, 204.0816, 229.5918, 255.1020, 280.6122, 306.1224, 331.6327,
        357.1429])","tensor([[7793884.2773],
        [7854614.2578],
        [7841491.6992],
        [7883300.7812],
        [7821960.4492],
        [7923583.9844],
        [7790222.1680],
        [7954101.5625],
        [7756042.4805],
        [7902221.6797],
        [7789306.6406],
        [7614746.0938],
        [7223815.9180],
        [6376037.5977],
        [5857543.9453]])"
7,"tensor([ 642.8571,  668.3673,  693.8776,  719.3878,  744.8980,  770.4082,
         795.9184,  821.4286,  846.9388,  872.4490,  897.9592,  923.4694,
         948.9796,  974.4898, 1000.0000])","tensor([[6920166.0156],
        [7843933.1055],
        [7829284.6680],
        [7822265.6250],
        [7839965.8203],
        [7790527.3437],
        [7812500.0000],
        [7741699.2188],
        [7797546.3867],
        [7743530.2734],
        [7739257.8125],
        [7721862.7930],
        [7689819.3359],
        [7626953.1250],
        [7686767.5781]])"
8,"tensor([1238.8714, 1250.4980, 1262.1245, 1273.7510, 1285.3776, 1297.0041,
        1308.6306, 1320.2571, 1331.8837, 1343.5102, 1355.1367, 1366.7633,
        1378.3898, 1390.0163, 1401.6429])","tensor([[7846679.6875],
        [7814331.0547],
        [7864379.8828],
        [7809448.2422],
        [7861328.1250],
        [7822570.8008],
        [7872619.6289],
        [7817382.8125],
        [7858886.7187],
        [7821044.9219],
        [7839050.2930],
        [7793273.9258],
        [7829589.8438],
        [7805175.7812],
        [7735595.7031]])"
9,"tensor([392.8571, 400.5102, 408.1633, 415.8163, 423.4694, 431.1224, 438.7755,
        446.4286, 454.0816, 461.7347, 469.3878, 477.0408, 484.6939, 492.3469,
        500.0000])","tensor([[7795410.1562],
        [7577819.8242],
        [7425537.1094],
        [7468872.0703],
        [7478027.3437],
        [7545166.0156],
        [7552795.4102],
        [7605285.6445],
        [7626953.1250],
        [7662353.5156],
        [7708129.8828],
        [7704162.5977],
        [7764282.2266],
        [7764892.5781],
        [7824096.6797]])"
