,x,y
0,"tensor([24.8276, 25.7143, 26.6010, 27.4877, 28.3744, 29.2611, 30.1478, 31.0345,
        31.9212, 32.8079, 33.6946, 34.5813, 35.4680, 36.3547, 37.2414])","tensor([[25.3906],
        [20.5078],
        [27.4658],
        [17.5781],
        [26.5198],
        [11.9324],
        [22.5830],
        [ 8.7891],
        [17.8223],
        [ 7.6904],
        [13.9465],
        [ 5.3711],
        [11.1084],
        [ 4.2114],
        [ 3.2043]])"
1,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[21.6064],
        [ 4.8828],
        [ 4.1199],
        [ 3.0212],
        [ 1.6174],
        [ 3.4180],
        [ 1.3428],
        [ 2.4414],
        [ 0.4883],
        [ 1.9226],
        [ 0.6714],
        [ 0.9766],
        [ 1.3123],
        [ 0.6409],
        [ 1.2817]])"
2,"tensor([-57.1429, -51.0204, -44.8980, -38.7755, -32.6531, -26.5306, -20.4082,
        -14.2857,  -8.1633,  -2.0408,   4.0816,  10.2041,  16.3265,  22.4490,
         28.5714])","tensor([[26.5198],
        [28.9917],
        [23.2849],
        [29.6936],
        [21.2402],
        [30.6091],
        [16.6016],
        [31.7383],
        [12.5122],
        [31.7383],
        [ 8.7891],
        [31.4026],
        [ 4.5166],
        [30.2734],
        [26.2146]])"
3,"tensor([-57.1429, -51.0204, -44.8980, -38.7755, -32.6531, -26.5306, -20.4082,
        -14.2857,  -8.1633,  -2.0408,   4.0816,  10.2041,  16.3265,  22.4490,
         28.5714])","tensor([[27.2827],
        [28.6255],
        [23.9868],
        [28.8086],
        [21.1792],
        [28.1677],
        [15.6555],
        [25.3906],
        [ 9.7656],
        [20.0195],
        [ 5.0659],
        [13.1836],
        [ 0.9766],
        [ 8.5449],
        [ 0.8240]])"
4,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[12.5122],
        [ 0.9766],
        [ 0.9460],
        [ 0.7935],
        [ 0.7935],
        [ 0.0000],
        [ 0.8240],
        [ 0.6714],
        [-0.4578],
        [-0.1221],
        [ 0.2747],
        [ 0.9766],
        [ 0.6104],
        [ 0.5493],
        [ 0.4883]])"
5,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[22.0642],
        [ 4.1809],
        [ 6.3477],
        [ 0.4883],
        [ 2.4414],
        [ 0.6104],
        [ 1.2512],
        [ 0.4883],
        [ 0.7324],
        [ 0.3662],
        [ 0.2136],
        [ 0.6409],
        [ 0.4883],
        [ 0.2136],
        [ 0.3662]])"
6,"tensor([-28.5714, -22.4490, -16.3265, -10.2041,  -4.0816,   2.0408,   8.1633,
         14.2857,  20.4082,  26.5306,  32.6531,  38.7755,  44.8980,  51.0204,
         57.1429])","tensor([[26.0620],
        [26.0010],
        [18.3105],
        [14.3433],
        [10.4980],
        [ 6.1340],
        [ 7.0496],
        [ 1.1597],
        [ 5.8594],
        [ 0.0000],
        [ 5.4932],
        [ 0.4883],
        [ 5.8594],
        [ 0.0000],
        [ 0.0000]])"
7,"tensor([-28.5714, -22.4490, -16.3265, -10.2041,  -4.0816,   2.0408,   8.1633,
         14.2857,  20.4082,  26.5306,  32.6531,  38.7755,  44.8980,  51.0204,
         57.1429])","tensor([[25.8484],
        [25.0854],
        [26.0315],
        [24.8718],
        [27.8320],
        [24.2615],
        [28.5339],
        [23.9258],
        [23.8342],
        [22.7966],
        [23.1628],
        [19.5007],
        [18.7073],
        [18.3716],
        [17.4255]])"
8,"tensor([17.1429, 18.9796, 20.8163, 22.6531, 24.4898, 26.3265, 28.1633, 30.0000,
        31.8367, 33.6735, 35.5102, 37.3469, 39.1837, 41.0204, 42.8571])","tensor([[25.5127],
        [21.1182],
        [10.2539],
        [10.5591],
        [ 2.9297],
        [ 5.8594],
        [ 2.4414],
        [ 5.3711],
        [ 1.8921],
        [ 4.8828],
        [ 1.4648],
        [ 4.3945],
        [ 0.9766],
        [ 4.7302],
        [ 2.3193]])"
9,"tensor([25.7143, 27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714,
        40.4082, 42.2449, 44.0816, 45.9184, 47.7551, 49.5918, 51.4286])","tensor([[29.0222],
        [22.4609],
        [28.2288],
        [17.1509],
        [26.7639],
        [12.6953],
        [20.3857],
        [ 7.7820],
        [13.8550],
        [ 7.1106],
        [ 9.2773],
        [ 5.3711],
        [ 7.8735],
        [ 4.2419],
        [ 2.9297]])"
10,"tensor([-1.7143, -1.5306, -1.3469, -1.1633, -0.9796, -0.7959, -0.6122, -0.4286,
        -0.2449, -0.0612,  0.1224,  0.3061,  0.4898,  0.6735,  0.8571])","tensor([[26.1230],
        [26.9470],
        [25.2380],
        [28.8086],
        [24.9023],
        [29.2969],
        [23.4375],
        [29.6021],
        [21.9727],
        [ 6.8359],
        [ 8.7280],
        [11.5662],
        [13.6719],
        [17.0898],
        [18.5547]])"
11,"tensor([ 8.5714, 10.4082, 12.2449, 14.0816, 15.9184, 17.7551, 19.5918, 21.4286,
        23.2653, 25.1020, 26.9388, 28.7755, 30.6122, 32.4490, 34.2857])","tensor([[25.8789],
        [28.5950],
        [22.5830],
        [29.2053],
        [19.5312],
        [25.8789],
        [15.6250],
        [23.1323],
        [13.4888],
        [27.3438],
        [12.0239],
        [28.6255],
        [ 9.7656],
        [19.8975],
        [ 8.4839]])"
12,"tensor([-1.2857e+00, -1.1020e+00, -9.1837e-01, -7.3469e-01, -5.5102e-01,
        -3.6735e-01, -1.8367e-01,  2.7756e-17,  1.8367e-01,  3.6735e-01,
         5.5102e-01,  7.3469e-01,  9.1837e-01,  1.1020e+00,  1.2857e+00])","tensor([[27.3438],
        [28.1372],
        [26.3672],
        [27.2217],
        [23.4375],
        [26.1536],
        [22.2778],
        [26.0315],
        [19.7144],
        [24.0173],
        [17.5781],
        [20.9961],
        [14.8926],
        [11.1084],
        [12.2070]])"
13,"tensor([12.8571, 14.6939, 16.5306, 18.3673, 20.2041, 22.0408, 23.8776, 25.7143,
        27.5510, 29.3878, 31.2245, 33.0612, 34.8980, 36.7347, 38.5714])","tensor([[27.6184],
        [22.7966],
        [31.1584],
        [20.0195],
        [30.6396],
        [17.0593],
        [28.9917],
        [13.1836],
        [15.5029],
        [15.8081],
        [17.0898],
        [18.0664],
        [21.4233],
        [24.7803],
        [27.0691]])"
